
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,13,18,.419,-13.61,-7.21,8,10,10,5,2,12,2209,2272,,1250,771,1704,.452,209,570,.367,458,653,.701,269,991,422,233,78,418,681
2,Air Force,31,14,17,.452,-5.53,0.64,5,13,12,5,2,12,2087,2222,,1245,716,1677,.427,194,568,.342,461,674,.684,266,1065,408,183,55,403,581
3,Akron,31,24,7,.774,6.35,-1.22,13,5,15,0,6,7,2413,2116,,1240,815,1867,.437,369,937,.394,414,595,.696,337,1172,457,170,122,344,557
4,Alabama A&amp;M,27,10,17,.370,-13.25,-10.33,6,12,6,5,4,12,1844,1912,,1095,637,1516,.420,164,563,.291,408,601,.679,298,929,343,148,52,316,526
5,Alabama-Birmingham,31,26,5,.839,4.49,-3.48,16,2,16,0,10,3,2450,2138,,1260,887,1837,.483,231,610,.379,445,617,.721,346,1203,579,199,194,395,541
6,Alabama State,30,14,16,.467,-12.20,-9.02,9,9,8,3,5,12,2154,2225,,1220,768,1857,.414,208,626,.332,410,603,.680,380,1121,360,176,104,358,625
7,Alabama,30,17,13,.567,8.14,8.58,8,10,10,4,5,7,1999,2012,,1210,674,1589,.424,230,682,.337,421,650,.648,296,1048,320,172,152,404,585
8,Albany (NY),32,24,8,.750,1.22,-7.69,13,3,14,1,10,7,2405,2086,,1290,812,1770,.459,180,561,.321,601,803,.748,376,1228,399,212,52,404,560
9,Alcorn State,29,15,14,.517,-15.39,-9.21,13,5,9,2,6,9,1953,2100,,1185,670,1631,.411,172,544,.316,441,652,.676,366,1029,265,131,104,414,529
10,American,31,12,19,.387,-13.85,-5.76,9,9,5,7,7,12,1785,2036,,1250,631,1487,.424,195,572,.341,328,471,.696,218,874,348,176,69,422,566
